00:24:54.097 [main] INFO  c.x.m.ManagementSystemApplication - Starting ManagementSystemApplication using Java 17.0.6 with PID 27012 (E:\IDEAwowrksapce\ManagementSystem\target\classes started by binary in E:\IDEAwowrksapce\ManagementSystem)
00:24:54.100 [main] INFO  c.x.m.ManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
00:24:54.625 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
00:24:54.627 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
00:24:54.645 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
00:24:55.073 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
00:24:55.079 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
00:24:55.080 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:24:55.081 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.13]
00:24:55.147 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:24:55.148 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1019 ms
00:24:56.390 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
00:24:56.408 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
00:24:56.415 [main] INFO  c.x.m.ManagementSystemApplication - Started ManagementSystemApplication in 2.582 seconds (process running for 3.216)
